iter	Passed	Remaining
0	1	112
1	2	113
2	3	108
3	4	100
4	5	97
5	5	93
6	7	93
7	8	93
8	9	92
9	10	91
10	11	90
11	12	88
12	12	86
13	13	84
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	20	75
21	20	74
22	21	73
23	22	71
24	23	70
25	24	68
26	24	67
27	25	66
28	26	64
29	27	63
30	27	62
31	28	60
32	29	59
33	30	58
34	31	57
35	31	56
36	32	55
37	33	54
38	33	52
39	34	51
40	35	50
41	35	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	33
57	45	33
58	46	32
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	52	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	56	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	72	0
99	73	0
